,material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap,A_ions,B_ions,C_ions,Tolerance_factor,Octahedral_factor
11024,mp-13595,Rb2UF6,18,Orthorhombic,-3.595955913,316.32065,5.490549479,0.0,Rb,U,F,0.9714755327112474,0.6691729323308271
11025,mp-1207222,Rb2VCl6,9,Cubic,-1.955501719,244.1190371,2.956189531,0.0,Rb,V,Cl,1.0443878399951936,0.3204419889502762
11026,mp-1209267,Rb2VF6,9,Cubic,-3.074937565,152.328284,3.661310442,0.0,Rb,V,F,1.1291495720518165,0.4360902255639097
11027,mp-2046810,Rb2VF6,9,Tetragonal,-3.105529897,153.2307343,3.639747204,0.7661,Rb,V,F,1.1291495720518165,0.4360902255639097
11028,mp-29481,Rb2WBr6,9,Cubic,-1.430904369,295.721213,4.684212577,0.0,Rb,W,Br,0.9931881506742345,0.33673469387755106
11029,mp-30227,Rb2WCl6,9,Cubic,-1.785055875,254.3358837,3.705121271,0.0,Rb,W,Cl,1.0105615131937298,0.36464088397790057
11030,mp-27831,Rb2ZrCl6,9,Cubic,-2.356486155,266.3042288,2.961097577,3.562,Rb,Zr,Cl,0.9865956275053409,0.39779005524861877
11031,mp-13946,Rb2ZrF6,9,Trigonal,-3.659619793,154.0095626,4.055668956,6.6418,Rb,Zr,F,1.052036918350717,0.5413533834586466
11147,mp-1205754,Na2CeF6,9,Trigonal,-3.60878943,111.2081433,4.480827045,2.226,Na,Ce,F,0.8742411112851858,0.6541353383458646
11148,mp-17297,Na2GeF6,27,Trigonal,-2.909913826,353.2528713,3.280295393,5.7875,Na,Ge,F,1.0340486262512951,0.39849624060150374
11149,mp-17438,Na2GeF6,27,Trigonal,-2.859179346,370.1816876,3.130283872,5.6123,Na,Ge,F,1.0340486262512951,0.39849624060150374
11156,mp-9753,Na2NbF6,18,Tetragonal,-3.129514153,255.3276006,3.28919425,0.2961,Na,Nb,F,0.9568808183220938,0.5112781954887218
11157,mp-1210356,Na2PdF6,27,Trigonal,-2.2368059,371.8853148,3.568446353,2.0894,Na,Pd,F,0.9888588405282309,0.46240601503759393
11160,mp-1192379,Na2PtF6,27,Trigonal,-2.273279054,378.4957451,4.673085301,2.7424,Na,Pt,F,0.9838007390421529,0.4699248120300752
11163,mp-17939,Na2SiF6,27,Trigonal,-3.261348136,346.5429887,2.703330708,6.8743,Na,Si,F,1.111751702212375,0.3007518796992481
11164,mp-3775,Na2SiF6,27,Trigonal,-3.320358589,333.3395504,2.810408491,6.9951,Na,Si,F,1.111751702212375,0.3007518796992481
11165,mp-8081,Na2SnF6,18,Tetragonal,-2.913188686,253.0387926,3.657612749,4.9677,Na,Sn,F,0.9521437845680242,0.5187969924812029
11168,mp-1078535,Na2TcF6,9,Trigonal,-2.69218343,112.1623578,3.819188552,1.5541,Na,Tc,F,0.9738381999126121,0.4849624060150376
11169,mp-1221258,Na2ThF6,9,Orthorhombic,-3.801106657,127.4495477,5.107469108,6.4581,Na,Th,F,0.8472821342852023,0.706766917293233
11170,mp-4829,Na2ThF6,9,Trigonal,-3.829810521,115.8905923,5.616889301,6.4738,Na,Th,F,0.8472821342852023,0.706766917293233
