Long_form,A_ions,B_ions,C_ions,A_ion_coefficient,B_ion_coefficient,C_ion_coefficient
Cs0.25FA0.75PbBr0.6I2.4,Cs; FA,Pb,Br; I,0.25; 0.75,1,0.6; 2.4
MA3Bi2I9,MA,Bi,I,3,2,9
FA0.8MA0.8PbBr0.06I2.96,FA; MA,Pb,Br; I,0.8; 0.8,1,0.06; 2.96
Cs0.05FA0.85MA0.5PbBr0.25I2.75,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.5,1,0.25; 2.75
FA0.83MA0.17PbBr0.51I2.49,FA; MA,Pb,Br; I,0.83; 0.17,1,0.51; 2.49
Cs0.05FA0.38MA0.57PbBr0.2I2.8,Cs; FA; MA,Pb,Br; I,0.05; 0.38; 0.57,1,0.2; 2.8
FA0.024MA0.976PbBrI2.955,FA; MA,Pb,Br; I,0.024; 0.976,1,1; 2.955
FA0.048MA0.952PbBrI2.91,FA; MA,Pb,Br; I,0.048; 0.952,1,1; 2.91
FA0.072MA0.928PbBrI2.86,FA; MA,Pb,Br; I,0.072; 0.928,1,1; 2.86
FA0.1MA0.9PbBrI2.8,FA; MA,Pb,Br; I,0.1; 0.9,1,1; 2.8
MAPbBr0.3I2.9,MA,Pb,Br; I,1,1,0.3; 2.9
FA0.1MA0.9PbBr0.3I2.9,FA; MA,Pb,Br; I,0.1; 0.9,1,0.3; 2.9
FA0.2MA0.8PbBr0.3I2.9,FA; MA,Pb,Br; I,0.2; 0.8,1,0.3; 2.9
FA0.3MA0.7PbBr0.3I2.9,FA; MA,Pb,Br; I,0.3; 0.7,1,0.3; 2.9
Cs0.06FA0.79MA0.15PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.06; 0.79; 0.15,1,0.45; 2.55
FA0.2MA0.8PbI3,FA; MA,Pb,I,0.2; 0.8,1,3
FA0.85MA0.15PbI3,FA; MA,Pb,I,0.85; 0.15,1,3
MAPbBr0.45I2.55,MA,Pb,Br; I,1,1,0.45; 2.55
Cs0.06FA0.94PbI3,Cs; FA,Pb,I,0.06; 0.94,1,3
FA0.9MA0.1PbBr0.1I2.9,FA; MA,Pb,Br; I,0.9; 0.1,1,0.1; 2.9
Cs0.02FA0.79MA0.16PbBr0.551I2.49,Cs; FA; MA,Pb,Br; I,0.02; 0.79; 0.16,1,0.551; 2.49
Cs0.91Rb0.09PbBr3,Cs; Rb,Pb,Br,0.91; 0.09,1,3
Cs0.2FA0.8PbBr0.75I2.25,Cs; FA,Pb,Br; I,0.2; 0.8,1,0.75; 2.25
Cs0.05FA0.78MA0.13PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.78; 0.13,1,0.45; 2.55
FA0.97MA0.03PbBr0.09I2.91,FA; MA,Pb,Br; I,0.97; 0.03,1,0.09; 2.91
(THM)0.025MA0.975PbI3,(THM); MA,Pb,I,0.025; 0.975,1,3
(THM)0.05MA0.95PbI3,(THM); MA,Pb,I,0.05; 0.95,1,3
(THM)0.075MA0.925PbI3,(THM); MA,Pb,I,0.075; 0.925,1,3
(THM)0.1MA0.9PbI3,(THM); MA,Pb,I,0.1; 0.9,1,3
(THM)0.2MA0.8PbI3,(THM); MA,Pb,I,0.2; 0.8,1,3
FA0.88MA0.12PbBr0.36I2.64,FA; MA,Pb,Br; I,0.88; 0.12,1,0.36; 2.64
Cs0.06FA0.67MA0.27PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.06; 0.67; 0.27,1,0.3; 2.7
Cs0.1MA0.9PbBr1.2I1.8,Cs; MA,Pb,Br; I,0.1; 0.9,1,1.2; 1.8
FAPb0.5Sn0.5I3,FA,Pb; Sn,I,1,0.5; 0.5,3
Cs2SnI6,Cs,Sn,I,2,1,6
Cs0.05FA0.855MA0.095PbBr0.285I2.565,Cs; FA; MA,Pb,Br; I,0.05; 0.855; 0.095,1,0.285; 2.565
Cs0.1FA0.765MA0.135PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.1; 0.765; 0.135,1,0.45; 2.55
FA0.8MA0.2PbBr0.6I2.4,FA; MA,Pb,Br; I,0.8; 0.2,1,0.6; 2.4
MAPbBr0.01I2.99,MA,Pb,Br; I,1,1,0.01; 2.99
MAPbBr0.02I2.98,MA,Pb,Br; I,1,1,0.02; 2.98
MAPbBr0.03I2.97,MA,Pb,Br; I,1,1,0.03; 2.97
MAPbBr0.04I2.96,MA,Pb,Br; I,1,1,0.04; 2.96
MAPbBr0.05I2.95,MA,Pb,Br; I,1,1,0.05; 2.95
Cs0.05FA0.75MA0.2PbI3,Cs; FA; MA,Pb,I,0.05; 0.75; 0.2,1,3
Cs0.15FA0.85PbI3,Cs; FA,Pb,I,0.15; 0.85,1,3
Cs0.1FA0.7MA0.2PbBr0.2I2.8,Cs; FA; MA,Pb,Br; I,0.1; 0.7; 0.2,1,0.2; 2.8
FA0.3MA0.7PbI3,FA; MA,Pb,I,0.3; 0.7,1,3
FA0.83MA0.17PbBr0.5I2.5,FA; MA,Pb,Br; I,0.83; 0.17,1,0.5; 2.5
MAPbBr2.1I0.9,MA,Pb,Br; I,1,1,2.1; 0.9
Cs0.25FA0.75PbI3,Cs; FA,Pb,I,0.25; 0.75,1,3
FAMAPbI3,FA; MA,Pb,I,1; 1,1,3
Cs0.025FA0.475MA0.5Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.025; 0.475; 0.5,0.5; 0.5,3
FA0.5MA0.5Pb0.5Sn0.5I3,FA; MA,Pb; Sn,I,0.5; 0.5,0.5; 0.5,3
Cs0.0125FA0.4875MA0.5Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.0125; 0.4875; 0.5,0.5; 0.5,3
Cs0.05FA0.45MA0.5Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.05; 0.45; 0.5,0.5; 0.5,3
MASnI3,MA,Sn,I,1,1,3
Cs0.17FA0.83PbBr0.8I2.2,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.8; 2.2
Cs0.17FA0.83PbBr1.2I1.8,Cs; FA,Pb,Br; I,0.17; 0.83,1,1.2; 1.8
Cs0.17FA0.83PbBr1.5I1.5,Cs; FA,Pb,Br; I,0.17; 0.83,1,1.5; 1.5
Cs0.17FA0.83PbBr1.8I1.2,Cs; FA,Pb,Br; I,0.17; 0.83,1,1.8; 1.2
FA0.94MA0.06PbBr0.06I,FA; MA,Pb,Br; I,0.94; 0.06,1,0.06; 1
Cs0.1FA0.76MA0.14PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.1; 0.76; 0.14,1,0.51; 2.49
FA0.12MA0.88PbBr0.25I2.75,FA; MA,Pb,Br; I,0.12; 0.88,1,0.25; 2.75
FA0.25MA0.75PbBr0.25I2.75,FA; MA,Pb,Br; I,0.25; 0.75,1,0.25; 2.75
FA0.5MA0.5PbBr0.25I2.75,FA; MA,Pb,Br; I,0.5; 0.5,1,0.25; 2.75
FA0.12MA0.8PbBr0.12I2.88,FA; MA,Pb,Br; I,0.12; 0.8,1,0.12; 2.88
FA0.25MA0.75PbBr0.12I2.88,FA; MA,Pb,Br; I,0.25; 0.75,1,0.12; 2.88
FA0.5MA0.5PbBr0.12I2.88,FA; MA,Pb,Br; I,0.5; 0.5,1,0.12; 2.88
MAPbBr2I,MA,Pb,Br; I,1,1,2; 1
Cs0.05FA0.85MA0.15PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.15,1,0.45; 2.55
RbPbI3,Rb,Pb,I,1,1,3
FA0.5MA0.5PbBr0.13I2.87,FA; MA,Pb,Br; I,0.5; 0.5,1,0.13; 2.87
FA0.75MA0.25PbBr0.25I2.75,FA; MA,Pb,Br; I,0.75; 0.25,1,0.25; 2.75
MAPb0.75Sn0.25I3,MA,Pb; Sn,I,1,0.75; 0.25,3
Cs0.05FA0.81MA0.14Pb0.95Br0.43I2.42,Cs; FA; MA,Pb,Br; I,0.05; 0.81; 0.14,0.95,0.43; 2.42
Cs0.05FA0.79MA0.16PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.3; 2.7
MA3Sb2I9,MA,Sb,I,3,2,9
Cs0.2FA0.8PbBr0.9I2.1,Cs; FA,Pb,Br; I,0.2; 0.8,1,0.9; 2.1
FA0.6MA0.4Pb0.4Sn0.6I3,FA; MA,Pb; Sn,I,0.6; 0.4,0.4; 0.6,3
FA0.15MA0.85PbBr0.45I2.55,FA; MA,Pb,Br; I,0.15; 0.85,1,0.45; 2.55
MAPbBr0.43I2.57,MA,Pb,Br; I,1,1,0.43; 2.57
MAPbBr0.75I2.25,MA,Pb,Br; I,1,1,0.75; 2.25
FA0.85MA0.15PbBr0.15I2.85,FA; MA,Pb,Br; I,0.85; 0.15,1,0.15; 2.85
Cs0.05FA0.85MA0.1PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.1,1,0.3; 2.7
GUPbI3,GU,Pb,I,1,1,3
GU2PbI4,GU,Pb,I,2,1,4
Cs0.05FA0.79MA0.16PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.5; 2.5
Cs0.05FA0.79MA0.16Pb0.75Sn0.25Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.05; 0.79; 0.16,0.75; 0.25,0.5; 2.5
Cs0.05FA0.79MA0.16Pb0.5Sn0.5Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.05; 0.79; 0.16,0.5; 0.5,0.5; 2.5
Cs0.05FA0.79MA0.16Pb0.25Sn0.75Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.05; 0.79; 0.16,0.25; 0.75,0.5; 2.5
Cs0.05FA0.79MA0.16SnBr0.5I2.5,Cs; FA; MA,Sn,Br; I,0.05; 0.79; 0.16,1,0.5; 2.5
Cs0.1FA0.75MA0.15PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,0.5; 2.5
Cs0.1FA0.75MA0.15Pb0.75Sn0.25Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.1; 0.75; 0.15,0.75; 0.25,0.5; 2.5
Cs0.1FA0.75MA0.15Pb0.5Sn0.5Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.1; 0.75; 0.15,0.5; 0.5,0.5; 2.5
Cs0.1FA0.75MA0.15Pb0.25Sn0.75Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.1; 0.75; 0.15,0.25; 0.75,0.5; 2.5
Cs0.1FA0.75MA0.15SnBr0.5I2.5,Cs; FA; MA,Sn,Br; I,0.1; 0.75; 0.15,1,0.5; 2.5
Cs0.2FA0.66MA0.14PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.2; 0.66; 0.14,1,0.5; 2.5
Cs0.2FA0.66MA0.14Pb0.75Sn0.25Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.2; 0.66; 0.14,0.75; 0.25,0.5; 2.5
Cs0.2FA0.66MA0.14Pb0.5Sn0.5Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.2; 0.66; 0.14,0.5; 0.5,0.5; 2.5
Cs0.2FA0.66MA0.14Pb0.25Sn0.75Br0.5I2.5,Cs; FA; MA,Pb; Sn,Br; I,0.2; 0.66; 0.14,0.25; 0.75,0.5; 2.5
Cs0.2FA0.66MA0.14SnBr0.5I2.5,Cs; FA; MA,Sn,Br; I,0.2; 0.66; 0.14,1,0.5; 2.5
CsGe0.5Sn0.5I3,Cs,Ge; Sn,I,1,0.5; 0.5,3
MAPb0.98Zn0.02I3,MA,Pb; Zn,I,1,0.98; 0.02,3
Cs0.05MA0.95PbI3,Cs; MA,Pb,I,0.05; 0.95,1,3
Cs0.10MA0.90PbI3,Cs; MA,Pb,I,0.10; 0.90,1,3
Cs0.20MA0.80PbI3,Cs; MA,Pb,I,0.20; 0.80,1,3
Cs0.30MA0.70PbI3,Cs; MA,Pb,I,0.30; 0.70,1,3
Cs0.40MA0.60PbI3,Cs; MA,Pb,I,0.40; 0.60,1,3
Cs0.60MA0.40PbI3,Cs; MA,Pb,I,0.60; 0.40,1,3
Cs0.80MA0.20PbI3,Cs; MA,Pb,I,0.80; 0.20,1,3
HA0.1MA0.9SnI3,HA; MA,Sn,I,0.1; 0.9,1,3
HA0.2MA0.8SnI3,HA; MA,Sn,I,0.2; 0.8,1,3
HA0.3MA0.7SnI3,HA; MA,Sn,I,0.3; 0.7,1,3
HA0.4MA0.6SnI3,HA; MA,Sn,I,0.4; 0.6,1,3
FA0.88MA0.12PbBr0.15I2.85,FA; MA,Pb,Br; I,0.88; 0.12,1,0.15; 2.85
MA3PbBr0.32I2.68,MA,Pb,Br; I,3,1,0.32; 2.68
MAPbBr0.56I2.44,MA,Pb,Br; I,1,1,0.56; 2.44
HDABiI5,HDA,Bi,I,1,1,5
MAHg0.025Pb0.975I3,MA,Hg; Pb,I,1,0.025; 0.975,3
MAHg0.05Pb0.95I3,MA,Hg; Pb,I,1,0.05; 0.95,3
MAHg0.075Pb0.925I3,MA,Hg; Pb,I,1,0.075; 0.925,3
MAHg0.1Pb0.9I3,MA,Hg; Pb,I,1,0.1; 0.9,3
MAHg0.15Pb0.85I3,MA,Hg; Pb,I,1,0.15; 0.85,3
MAHg0.2Pb0.8I3,MA,Hg; Pb,I,1,0.2; 0.8,3
MAHg0.3Pb0.7I3,MA,Hg; Pb,I,1,0.3; 0.7,3
MAHgI3,MA,Hg,I,1,1,3
FA0.95MA0.05PbBr0.15I2.75,FA; MA,Pb,Br; I,0.95; 0.05,1,0.15; 2.75
GUSnI3,GU,Sn,I,1,1,3
(TBA)0.01MA0.99PbI3,(TBA); MA,Pb,I,0.01; 0.99,1,3
(TBA)0.03MA0.97PbI3,(TBA); MA,Pb,I,0.03; 0.97,1,3
(TBA)0.05MA0.95PbI3,(TBA); MA,Pb,I,0.05; 0.95,1,3
(TBA)0.1MA0.9PbI3,(TBA); MA,Pb,I,0.1; 0.9,1,3
(TBA)0.3MA0.7PbI3,(TBA); MA,Pb,I,0.3; 0.7,1,3
Cs0.1MA0.9PbBr0.1I2.9,Cs; MA,Pb,Br; I,0.1; 0.9,1,0.1; 2.9
Cs0.17FA0.83PbBr1.2I2.8,Cs; FA,Pb,Br; I,0.17; 0.83,1,1.2; 2.8
FA0.9MA0.1PbI3,FA; MA,Pb,I,0.9; 0.1,1,3
(PEA)2MA39Pb40I121,(PEA); MA,Pb,I,2; 39,40,121
BA2MA39Pb40I121,BA; MA,Pb,I,2; 39,40,121
(CHMA)2MA39Pb40I121,(CHMA); MA,Pb,I,2; 39,40,121
(PEA)2Cs4MA35Pb40I121,(PEA); Cs; MA,Pb,I,2; 4; 35,40,121
BA2Cs4MA35Pb40I121,BA; Cs; MA,Pb,I,2; 4; 35,40,121
(CHMA)2Cs4MA35Pb40I121,(CHMA); Cs; MA,Pb,I,2; 4; 35,40,121
Cs0.1MA0.9PbI3,Cs; MA,Pb,I,0.1; 0.9,1,3
FAPbBr3,FA,Pb,Br,1,1,3
(PEA)2Cs1.77FA57.23Pb60I181,(PEA); Cs; FA,Pb,I,2; 1.77; 57.23,60,181
BA2MA23Sn4I13,BA; MA,Sn,I,2; 2; 3,4,13
