Long_form,A_ions,B_ions,C_ions,A_ion_coefficient,B_ion_coefficient,C_ion_coefficient
EDA0.01FA0.99SnI3,EDA; FA,Sn,I,0.01; 0.99,1,3
Cs0.05FA0.79MA0.17PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.17,1,0.5; 2.5
(PEA)2FA0.5MA3.5Pb5I16,(PEA); FA; MA,Pb,I,2; 0.5; 3.5,5,16
(PEA)0.4FA0.6PbI3,(PEA); FA,Pb,I,0.4; 0.6,1,3
(PEA)FASnI3,(PEA); FA,Sn,I,1; 1,1,3
FA0.975MA0.025PbBr0.075I2.925,FA; MA,Pb,Br; I,0.975; 0.025,1,0.075; 2.925
FA0.1MA0.9PbI3,FA; MA,Pb,I,0.1; 0.9,1,3
FA0.4MA0.6PbI3,FA; MA,Pb,I,0.4; 0.6,1,3
FA0.5MA0.5PbI3,FA; MA,Pb,I,0.5; 0.5,1,3
FA0.6MA0.4PbI3,FA; MA,Pb,I,0.6; 0.4,1,3
FA0.7MA0.3PbI3,FA; MA,Pb,I,0.7; 0.3,1,3
CsFASnI3,Cs; FA,Sn,I,1; 1,1,3
Cs0.02FA0.98SnI3,Cs; FA,Sn,I,0.02; 0.98,1,3
Cs0.05FA0.95SnI3,Cs; FA,Sn,I,0.05; 0.95,1,3
Cs0.08FA0.92SnI3,Cs; FA,Sn,I,0.08; 0.92,1,3
Cs0.1FA0.9SnI3,Cs; FA,Sn,I,0.1; 0.9,1,3
Cs0.15FA0.85SnI3,Cs; FA,Sn,I,0.15; 0.85,1,3
Cs0.05FA0.8MA0.15PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.8; 0.15,1,0.45; 2.55
FA0.6MA0.4PbSn0.6I0.4,FA; MA,Pb; Sn,I,0.6; 0.4,1; 0.6,0.4
Cs0.1FA0.81MA0.09PbBr0.1I2.9,Cs; FA; MA,Pb,Br; I,0.1; 0.81; 0.09,1,0.1; 2.9
(Ace)0.02MA0.98PbI3,(Ace); MA,Pb,I,0.02; 0.98,1,3
(Ace)0.03MA0.97PbI3,(Ace); MA,Pb,I,0.03; 0.97,1,3
(Ace)0.05MA0.95PbI3,(Ace); MA,Pb,I,0.05; 0.95,1,3
(Ace)0.08MA0.92PbI3,(Ace); MA,Pb,I,0.08; 0.92,1,3
(Ace)0.1MA0.9PbI3,(Ace); MA,Pb,I,0.1; 0.9,1,3
(Ace)0.15MA0.85PbI3,(Ace); MA,Pb,I,0.15; 0.85,1,3
(Ace)0.2MA0.8PbI3,(Ace); MA,Pb,I,0.2; 0.8,1,3
Cs0.06FA0.8MA0.14PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.06; 0.8; 0.14,1,0.45; 2.55
Cs0.08FA0.8MA0.12PbBr0.36I2.64,Cs; FA; MA,Pb,Br; I,0.08; 0.8; 0.12,1,0.36; 2.64
Cs0.05FA0.85MA0.1PbBr0.1I2.9,Cs; FA; MA,Pb,Br; I,0.05; 0.85; 0.1,1,0.1; 2.9
FA0.05MA0.95PbI3,FA; MA,Pb,I,0.05; 0.95,1,3
FA0.10MA0.9PbI3,FA; MA,Pb,I,0.10; 0.9,1,3
FA0.15MA0.85PbI3,FA; MA,Pb,I,0.15; 0.85,1,3
MAPb0.97Sn0.03Br0.06I2.94,MA,Pb; Sn,Br; I,1,0.97; 0.03,0.06; 2.94
MAPb0.95Sn0.05Br0.1I2.9,MA,Pb; Sn,Br; I,1,0.95; 0.05,0.1; 2.9
MAPb0.9Sn0.1Br0.2I2.8,MA,Pb; Sn,Br; I,1,0.9; 0.1,0.2; 2.8
Cs0.05MA0.95Pb0.95Sn0.05Br0.1I2.9,Cs; MA,Pb; Sn,Br; I,0.05; 0.95,0.95; 0.05,0.1; 2.9
Cs0.1MA0.9Pb0.9Sn0.1Br0.2I2.8,Cs; MA,Pb; Sn,Br; I,0.1; 0.9,0.9; 0.1,0.2; 2.8
Cs0.05MA0.95Pb0.95Sn0.1Br0.15I2.85,Cs; MA,Pb; Sn,Br; I,0.05; 0.95,0.95; 0.1,0.15; 2.85
Cs0.1MA0.9Pb0.9Sn0.1Br0.3I2.7,Cs; MA,Pb; Sn,Br; I,0.1; 0.9,0.9; 0.1,0.3; 2.7
MAMg0.09Pb0.91I3,MA,Mg; Pb,I,1,0.09; 0.91,3
FA0.85MA0.15PbBr0.15I0.85,FA; MA,Pb,Br; I,0.85; 0.15,1,0.15; 0.85
Cs0.08FA0.69MA0.23PbBr0.63I2.37,Cs; FA; MA,Pb,Br; I,0.08; 0.69; 0.23,1,0.63; 2.37
Cs0.06FA0.77MA0.17PbBr0.17I0.83,Cs; FA; MA,Pb,Br; I,0.06; 0.77; 0.17,1,0.17; 0.83
Cs0.2FA0.8PbBr0.3I2.7,Cs; FA,Pb,Br; I,0.2; 0.8,1,0.3; 2.7
Cs0.1FA0.75MA0.15PbBr0.35I2.65,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,0.35; 2.65
FA0.83MA0.17PbBr0.37I2.63,FA; MA,Pb,Br; I,0.83; 0.17,1,0.37; 2.63
FA0.83MA0.17PbBr0.0I2.51,FA; MA,Pb,Br; I,0.83; 0.17,1,0.0; 2.51
Cs0.06FA0.78MA0.16PbI3,Cs; FA; MA,Pb,I,0.06; 0.78; 0.16,1,3
Cs0.06FA0.78MA0.16PbBr0.18I2.82,Cs; FA; MA,Pb,Br; I,0.06; 0.78; 0.16,1,0.18; 2.82
CsFAPbBrI,Cs; FA,Pb,Br; I,1; 1,1,1; 1
Cs0.17FA0.83PbBr2.49I0.51,Cs; FA,Pb,Br; I,0.17; 0.83,1,2.49; 0.51
Cs0.25FA0.75PbBr0.6I2.40,Cs; FA,Pb,Br; I,0.25; 0.75,1,0.6; 2.40
Cs0.05FA0.76MA0.16PbBr0.48I2.52,Cs; FA; MA,Pb,Br; I,0.05; 0.76; 0.16,1,0.48; 2.52
Cs0.07FA0.725MA0.115PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.07; 0.725; 0.115,1,0.45; 2.55
Cs0.05FA0.76MA0.16PbBr1.5I1.5,Cs; FA; MA,Pb,Br; I,0.05; 0.76; 0.16,1,1.5; 1.5
FA0.83MA0.17PbBr0.03I2.97,FA; MA,Pb,Br; I,0.83; 0.17,1,0.03; 2.97
Cs0.07FA0.785MA0.115PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.07; 0.785; 0.115,1,0.45; 2.55
BA2MA3Pb4I13,BA; MA,Pb,I,2; 3,4,13
(PEA)0.2BA1.8MA3Pb4I13,(PEA); BA; MA,Pb,I,0.2; 1.8; 3,4,13
(PEA)0.4BA1.6MA3Pb4I13,(PEA); BA; MA,Pb,I,0.4; 1.6; 3,4,13
(PEA)0.8BA1.2MA3Pb4I13,(PEA); BA; MA,Pb,I,0.8; 1.2; 3,4,13
(PEA)1.6BA0.4MA3Pb4I13,(PEA); BA; MA,Pb,I,1.6; 0.4; 3,4,13
EA2MA3PEAPb4I13,EA; MA; PEA,Pb,I,2; 3,4,13
EA3MA2NEAPb4I13,EA; MA; NEA,Pb,I,3; 2,4,13
(ALA)2MA3Pb4I13,(ALA); MA,Pb,I,2; 3,4,13
(PGA)2MA3Pb4I13,(PGA); MA,Pb,I,2; 3,4,13
(NEA)0.2BA1.8MA3Pb4I13,(NEA); BA; MA,Pb,I,0.2; 1.8; 3,4,13
(ALA)0.2BA1.8MA3Pb4I13,(ALA); BA; MA,Pb,I,0.2; 1.8; 3,4,13
(PGA)0.2BA1.8MA3Pb4I13,(PGA); BA; MA,Pb,I,0.2; 1.8; 3,4,13
(PEA)0.12BA0.9MA3Pb4I13,(PEA); BA; MA,Pb,I,0.12; 0.9; 3,4,13
Cs0.05FA0.86MA0.09PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,0.05; 0.86; 0.09,1,0.3; 2.7
Cs0.05FA0.7885MA0.1615PbBr0.34I2.66,Cs; FA; MA,Pb,Br; I,0.05; 0.7885; 0.1615,1,0.34; 2.66
Cs02FA0.8PbBr0.42I2.58,Cs; FA,Pb,Br; I,02; 0.8,1,0.42; 2.58
FA0.7Rb0.3PbI3,FA; Rb,Pb,I,0.7; 0.3,1,3
Cs0.15FA0.26MA0.59PbI3,Cs; FA; MA,Pb,I,0.15; 0.26; 0.59,1,3
(n-C3H7NH3)PbCl3,(n-C3H7NH3),Pb,Cl,1,1,3
MAPbCl3,MA,Pb,Cl,1,1,3
Cs0.05FA0.79MA0.16Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.05; 0.79; 0.16,0.5; 0.5,3
(PEA)0.1FA0.15MA0.75SnBr0.24I2.76,(PEA); FA; MA,Sn,Br; I,0.1; 0.15; 0.75,1,0.24; 2.76
Cs0.2FA0.8PbBr1.2I1.8,Cs; FA,Pb,Br; I,0.2; 0.8,1,1.2; 1.8
Cs0.05FA0.09MA0.05PbBr0.15I2.85,Cs; FA; MA,Pb,Br; I,0.05; 0.09; 0.05,1,0.15; 2.85
FA0.7MA0.3Pb0.5Sn0.5I3,FA; MA,Pb; Sn,I,0.7; 0.3,0.5; 0.5,3
(BZA)2MA2Pb3I10,(BZA); MA,Pb,I,2; 2,3,10
(BZA)1.95(HAD)0.05MA2Pb3I10,(BZA); (HAD); MA,Pb,I,1.95; 0.05; 2,3,10
(BZA)1.9(HAD)0.1MA2Pb3I10,(BZA); (HAD); MA,Pb,I,1.9; 0.1; 2,3,10
(BZA)1.85(HAD)0.15MA2Pb3I10,(BZA); (HAD); MA,Pb,I,1.85; 0.15; 2,3,10
(BZA)1.8(HAD)0.2MA2Pb3I10,(BZA); (HAD); MA,Pb,I,1.8; 0.2; 2,3,10
MACu0.01Pb0.99Br0.01I2.99,MA,Cu; Pb,Br; I,1,0.01; 0.99,0.01; 2.99
MACu0.03Pb0.97Br0.03I2.97,MA,Cu; Pb,Br; I,1,0.03; 0.97,0.03; 2.97
MACu0.05Pb0.95Br0.05I2.95,MA,Cu; Pb,Br; I,1,0.05; 0.95,0.05; 2.95
FA0.25MA0.75PbI3,FA; MA,Pb,I,0.25; 0.75,1,3
FA0.75MA0.25PbBr0.5I2.5,FA; MA,Pb,Br; I,0.75; 0.25,1,0.5; 2.5
Cs0.17FA0.83PbBr0.17I0.83,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.17; 0.83
FA0.75MA0.25SnI3,FA; MA,Sn,I,0.75; 0.25,1,3
Cs0.15FA0.85PbBr0.12I2.88,Cs; FA,Pb,Br; I,0.15; 0.85,1,0.12; 2.88
FA0.14MA0.86PbBr0.42I2.58,FA; MA,Pb,Br; I,0.14; 0.86,1,0.42; 2.58
Cs0.17FA0.83PbBr0.6I2.4,Cs; FA,Pb,Br; I,0.17; 0.83,1,0.6; 2.4
Cs0.07FA0.775MA0.145PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.07; 0.775; 0.145,1,0.45; 2.55
Cs0.05FA0.76MA0.19PbBr0.6I2.4,Cs; FA; MA,Pb,Br; I,0.05; 0.76; 0.19,1,0.6; 2.4
(GABA)0.025MA0.975PbI3,(GABA); MA,Pb,I,0.025; 0.975,1,3
(GABA)0.05MA0.95PbI3,(GABA); MA,Pb,I,0.05; 0.95,1,3
(GABA)0.1MA0.9PbI3,(GABA); MA,Pb,I,0.1; 0.9,1,3
(GABA)0.2MA0.8PbI3,(GABA); MA,Pb,I,0.2; 0.8,1,3
(GABA)0.5MA0.5PbI3,(GABA); MA,Pb,I,0.5; 0.5,1,3
FAPbBr0.15I2.85,FA,Pb,Br; I,1,1,0.15; 2.85
FA0.7MA0.3Pb0.7Sn0.3I3,FA; MA,Pb; Sn,I,0.7; 0.3,0.7; 0.3,3
Cs0.14FA0.86PbI3,Cs; FA,Pb,I,0.14; 0.86,1,3
Cs0.24FA0.76PbI3,Cs; FA,Pb,I,0.24; 0.76,1,3
Cs0.05FA0.78MA0.16PbBr0.5I2.5,Cs; FA; MA,Pb,Br; I,0.05; 0.78; 0.16,1,0.5; 2.5
FA0.1MA0.9PbBr2.7I0.3,FA; MA,Pb,Br; I,0.1; 0.9,1,2.7; 0.3
FA0.3MA0.7PbBr2.1I0.9,FA; MA,Pb,Br; I,0.3; 0.7,1,2.1; 0.9
FA0.5MA0.5PbBr1.5I1.5,FA; MA,Pb,Br; I,0.5; 0.5,1,1.5; 1.5
FA0.7MA0.3PbBr0.9I2.1,FA; MA,Pb,Br; I,0.7; 0.3,1,0.9; 2.1
FA0.85MA0.15PbBr0.21I2.79,FA; MA,Pb,Br; I,0.85; 0.15,1,0.21; 2.79
FA0.67MA0.33PbBr0.5I2.5,FA; MA,Pb,Br; I,0.67; 0.33,1,0.5; 2.5
Cs0.2FA0.2MA0.6PbI3,Cs; FA; MA,Pb,I,0.2; 0.2; 0.6,1,3
Cs0.1FA0.2MA0.7PbI3,Cs; FA; MA,Pb,I,0.1; 0.2; 0.7,1,3
Cs0.3FA0.2MA0.5PbI3,Cs; FA; MA,Pb,I,0.3; 0.2; 0.5,1,3
Cs0.4FA0.2MA0.4PbI3,Cs; FA; MA,Pb,I,0.4; 0.2; 0.4,1,3
FAPb0.75Sn0.25I3,FA,Pb; Sn,I,1,0.75; 0.25,3
FAPb0.25Sn0.75I3,FA,Pb; Sn,I,1,0.25; 0.75,3
MAPb0.99Sr0.01I3,MA,Pb; Sr,I,1,0.99; 0.01,3
MAPb0.95Sr0.05I3,MA,Pb; Sr,I,1,0.95; 0.05,3
MABa0.1Pb0.9I3,MA,Ba; Pb,I,1,0.1; 0.9,3
MABa0.01Pb0.99I3,MA,Ba; Pb,I,1,0.01; 0.99,3
MABa0.05Pb0.95I3,MA,Ba; Pb,I,1,0.05; 0.95,3
MACo0.008Pb0.992I3,MA,Co; Pb,I,1,0.008; 0.992,3
MACo0.016Pb0.984I3,MA,Co; Pb,I,1,0.016; 0.984,3
MACo0.031Pb0.969I3,MA,Co; Pb,I,1,0.031; 0.969,3
MACo0.063Pb0.937I3,MA,Co; Pb,I,1,0.063; 0.937,3
Cs0.15FA0.85PbBr0.3I2.7,Cs; FA,Pb,Br; I,0.15; 0.85,1,0.3; 2.7
Cs0.06FA0.78MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.06; 0.78; 0.16,1,0.51; 2.49
MANiCl2I,MA,Ni,Cl; I,1,1,2; 1
FA0.3MA0.7PbBr0.48I2.52,FA; MA,Pb,Br; I,0.3; 0.7,1,0.48; 2.52
FA0.3MA0.7PbBr0.6I2.4,FA; MA,Pb,Br; I,0.3; 0.7,1,0.6; 2.4
MAPb0.9Sn0.1I3,MA,Pb; Sn,I,1,0.9; 0.1,3
Cs0.3FA0.7PbBr3,Cs; FA,Pb,Br,0.3; 0.7,1,3
Cs0.1FA0.9PbBr3,Cs; FA,Pb,Br,0.1; 0.9,1,3
FA0.96MA0.04PbBr0.12I2.88,FA; MA,Pb,Br; I,0.96; 0.04,1,0.12; 2.88
FA0.975MA0.025PbI3,FA; MA,Pb,I,0.975; 0.025,1,3
FAPbCl3,FA,Pb,Cl,1,1,3
FA0.25MA0.75SnI3,FA; MA,Sn,I,0.25; 0.75,1,3
Cs0.005FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.005; 0.81; 0.14,1,0.45; 2.55
Cs0.08FA0.76MA15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.08; 0.76; 15,1,0.51; 2.49
Cs0.12FA0.83MA0.05PbBr1.2I1.8,Cs; FA; MA,Pb,Br; I,0.12; 0.83; 0.05,1,1.2; 1.8
FA0.83MA0.17PbBr0.39I2.61,FA; MA,Pb,Br; I,0.83; 0.17,1,0.39; 2.61
Cs0.05FA0.54MA0.41PbBr0.06I2.94,Cs; FA; MA,Pb,Br; I,0.05; 0.54; 0.41,1,0.06; 2.94
Cs0.05FA0.95PbI3,Cs; FA,Pb,I,0.05; 0.95,1,3
MASnBr2I,MA,Sn,Br; I,1,1,2; 1
MASnBr1.8Cl0.2I,MA,Sn,Br; Cl; I,1,1,1.8; 0.2; 1
MASnBr1.5Cl0.5I,MA,Sn,Br; Cl; I,1,1,1.5; 0.5; 1
MASnBrI2,MA,Sn,Br; I,1,1,1; 2
MASnBr0.6I2.4,MA,Sn,Br; I,1,1,0.6; 2.4
MAPbBr0.12I2.88,MA,Pb,Br; I,1,1,0.12; 2.88
MAPbBr0.33I2.67,MA,Pb,Br; I,1,1,0.33; 2.67
(HEA)2Cs0.9FA8.1Pb10Br3.3I29.7,(HEA); Cs; FA,Pb,Br; I,2; 0.9; 8.1,10,3.3; 29.7
(HEA)2Cs1.9FA17.1Pb20Br6.3I56.7,(HEA); Cs; FA,Pb,Br; I,2; 1.9; 17.1,20,6.3; 56.7
(HEA)2Cs2.9FA26.1Pb30Br9.3I83.7,(HEA); Cs; FA,Pb,Br; I,2; 2.9; 26.1,30,9.3; 83.7
(HEA)2Cs3.9FA35.1Pb40Br12.3I110.7,(HEA); Cs; FA,Pb,Br; I,2; 3.9; 35.1,40,12.3; 110.7
(HEA)2Cs1.9FA17.1Pb20Br0I63,(HEA); Cs; FA,Pb,Br; I,2; 1.9; 17.1,20,0; 63
(HEA)2Cs1.9FA17.1Pb20Br3.15I59.85,(HEA); Cs; FA,Pb,Br; I,2; 1.9; 17.1,20,3.15; 59.85
(HEA)2Cs1.9FA17.1Pb20Br9.45I53.55,(HEA); Cs; FA,Pb,Br; I,2; 1.9; 17.1,20,9.45; 53.55
(HEA)2Cs1.9FA17.1Pb20Br12.6I57.54,(HEA); Cs; FA,Pb,Br; I,2; 1.9; 17.1,20,12.6; 57.54
FA0.66MA0.33PbBr0.45I2.55,FA; MA,Pb,Br; I,0.66; 0.33,1,0.45; 2.55
CsEu0.01Pb0.99BrI2,Cs,Eu; Pb,Br; I,1,0.01; 0.99,1; 2
CsEu0.03Pb0.97BrI2,Cs,Eu; Pb,Br; I,1,0.03; 0.97,1; 2
CsEu0.05Pb0.95BrI2,Cs,Eu; Pb,Br; I,1,0.05; 0.95,1; 2
CsEu0.07Pb0.93BrI2,Cs,Eu; Pb,Br; I,1,0.07; 0.93,1; 2
CsEu0.09Pb0.91BrI2,Cs,Eu; Pb,Br; I,1,0.09; 0.91,1; 2
FA0.02MA0.98PbI3,FA; MA,Pb,I,0.02; 0.98,1,3
Cs0.1FA0.75MA0.15PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,0.51; 2.49
Cs0.05FA0.79MA0.16PbBr0.65I2.35,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.65; 2.35
FA0.625MA0.935PbI,FA; MA,Pb,I,0.625; 0.935,1,1
FA0.125MA0.875PbI,FA; MA,Pb,I,0.125; 0.875,1,1
FA0.25MA0.75PbI,FA; MA,Pb,I,0.25; 0.75,1,1
FA0.5MA0.5PbI,FA; MA,Pb,I,0.5; 0.5,1,1
BA2MA2Sn3I10,BA; MA,Sn,I,2; 2,3,10
BA2MA3Sn4I13,BA; MA,Sn,I,2; 3,4,13
FA0.84MA0.16PbBr0.45I2.55,FA; MA,Pb,Br; I,0.84; 0.16,1,0.45; 2.55
MAPbBr0.78I2.22,MA,Pb,Br; I,1,1,0.78; 2.22
Cs0.04FA0.71GU0.1MA0.15PbBr0.5I2.49,Cs; FA; GU; MA,Pb,Br; I,0.04; 0.71; 0.1; 0.15,1,0.5; 2.49
FA0.65MA0.35PbI3,FA; MA,Pb,I,0.65; 0.35,1,3
CsBa0.2Pb0.8BrI2,Cs,Ba; Pb,Br; I,1,0.2; 0.8,1; 2
CsBa0.1Pb0.9BrI2,Cs,Ba; Pb,Br; I,1,0.1; 0.9,1; 2
CsBa0.3Pb0.7BrI2,Cs,Ba; Pb,Br; I,1,0.3; 0.7,1; 2
CsBa0.4Pb0.6BrI2,Cs,Ba; Pb,Br; I,1,0.4; 0.6,1; 2
FAPbBr0.45I2.55,FA,Pb,Br; I,1,1,0.45; 2.55
FA0.85MA0.85PbI3,FA; MA,Pb,I,0.85; 0.85,1,3
FA0.85MA0.85PbBr0.45I2.55,FA; MA,Pb,Br; I,0.85; 0.85,1,0.45; 2.55
Cs0.05FA0.75MA0.1PbBr0.3I2.9,Cs; FA; MA,Pb,Br; I,0.05; 0.75; 0.1,1,0.3; 2.9
MA0.01Pb0.99I3,MA,Pb,I,0.01,0.99,3
MA0.05Pb0.95I3,MA,Pb,I,0.05,0.95,3
MA0.125Pb0.875I3,MA,Pb,I,0.125,0.875,3
BA2MA2Pb4I13,BA; MA,Pb,I,2; 2,4,13
FA0.87MA0.13PbBr0.51I2.49,FA; MA,Pb,Br; I,0.87; 0.13,1,0.51; 2.49
(TMA)SnI3,(TMA),Sn,I,1,1,3
BA2MAPb2I7,BA; MA,Pb,I,2; 1,2,7
Cs0.2MA0.8PbI3,Cs; MA,Pb,I,0.2; 0.8,1,3
Cs0.3MA0.7PbI3,Cs; MA,Pb,I,0.3; 0.7,1,3
Cs0.4MA0.6PbI3,Cs; MA,Pb,I,0.4; 0.6,1,3
Cs0.5MA0.5PbI3,Cs; MA,Pb,I,0.5; 0.5,1,3
Cs0.75MA0.25PbI3,Cs; MA,Pb,I,0.75; 0.25,1,3
FA0.6MA0.4PbBr0.1I2.9,FA; MA,Pb,Br; I,0.6; 0.4,1,0.1; 2.9
Cs0.05FA0.5MA0.45Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.05; 0.5; 0.45,0.5; 0.5,3
Cs0.4FA0.6PbBr1.05I1.95,Cs; FA,Pb,Br; I,0.4; 0.6,1,1.05; 1.95
Cs0.05FA0.7885MA0.1615PbBr0.4845I2.5155,Cs; FA; MA,Pb,Br; I,0.05; 0.7885; 0.1615,1,0.4845; 2.5155
Cs0.1FA0.7MA0.2Pb0.5Sn0.5I3,Cs; FA; MA,Pb; Sn,I,0.1; 0.7; 0.2,0.5; 0.5,3
FA0.7MA0.3PbBr0.3I2.9,FA; MA,Pb,Br; I,0.7; 0.3,1,0.3; 2.9
Cs0.1FA0.75MA0.15PbBr0.46I2.54,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,0.46; 2.54
FA0.83MA0.17PbI3,FA; MA,Pb,I,0.83; 0.17,1,3
MAPbBr0.9I2.1,MA,Pb,Br; I,1,1,0.9; 2.1
(5-AVA)0.05MA0.95PbI3,(5-AVA); MA,Pb,I,0.05; 0.95,1,3
(5-AVA)0.05Cs0.05MA0.9PbI3,(5-AVA); Cs; MA,Pb,I,0.05; 0.05; 0.9,1,3
CsPb0.99Sr0.01BrI2,Cs,Pb; Sr,Br; I,1,0.99; 0.01,1; 2
CsPb0.98Sr0.02BrI2,Cs,Pb; Sr,Br; I,1,0.98; 0.02,1; 2
CsPb0.97Sr0.03BrI2,Cs,Pb; Sr,Br; I,1,0.97; 0.03,1; 2
CsPb0.95Sr0.05BrI2,Cs,Pb; Sr,Br; I,1,0.95; 0.05,1; 2
Cs0.25FA0.75PbBr0.3I2.7,Cs; FA,Pb,Br; I,0.25; 0.75,1,0.3; 2.7
Cs0.1FA0.75MA0.15PbBrI2,Cs; FA; MA,Pb,Br; I,0.1; 0.75; 0.15,1,1; 2
Cs0.14FA0.65MA0.21PbBrI2,Cs; FA; MA,Pb,Br; I,0.14; 0.65; 0.21,1,1; 2
Cs0.07FA0.81MA0.1146PbBrI2,Cs; FA; MA,Pb,Br; I,0.07; 0.81; 0.1146,1,1; 2
Cs0.05FA0.87MA0.0782PbBrI2,Cs; FA; MA,Pb,Br; I,0.05; 0.87; 0.0782,1,1; 2
Cs0.25FA0.75PbBrI2,Cs; FA,Pb,Br; I,0.25; 0.75,1,1; 2
FA0.93MA0.03PbBr0.09I2.91,FA; MA,Pb,Br; I,0.93; 0.03,1,0.09; 2.91
FA0.3MA0.7PbBr0.9I2.1,FA; MA,Pb,Br; I,0.3; 0.7,1,0.9; 2.1
Cs0.21FA0.56MA0.23PbBr0.06I2.94,Cs; FA; MA,Pb,Br; I,0.21; 0.56; 0.23,1,0.06; 2.94
FA0.7MA0.3PbBr0.1I2.9,FA; MA,Pb,Br; I,0.7; 0.3,1,0.1; 2.9
Cs0.12FA0.88PbBr0.36I2.64,Cs; FA,Pb,Br; I,0.12; 0.88,1,0.36; 2.64
FA0.29MA0.71PbBr0.3I2.7,FA; MA,Pb,Br; I,0.29; 0.71,1,0.3; 2.7
MACu0.014Pb0.986I3,MA,Cu; Pb,I,1,0.014; 0.986,3
MACu0.0118Pb0.9882Br0.2I2.8,MA,Cu; Pb,Br; I,1,0.0118; 0.9882,0.2; 2.8
MACu0.0094Pb0.9906I3,MA,Cu; Pb,I,1,0.0094; 0.9906,3
Cs0.05FA0.79MA0.16PbBr1.2I2.6,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,1.2; 2.6
HAPbI4,HA,Pb,I,1,1,4
(BZA)2PbI4,(BZA),Pb,I,2,1,4
BA2FA0.6MA2.4Pb4I13,BA; FA; MA,Pb,I,2; 0.6; 2.4,4,13
BA2Cs1.5MA2.85Pb4I13,BA; Cs; MA,Pb,I,2; 1.5; 2.85,4,13
BA2Cs0.15FA0.57MA2.28Pb4I13,BA; Cs; FA; MA,Pb,I,2; 0.15; 0.57; 2.28,4,13
FA0.2MA0.8PbBr0.6I2.4,FA; MA,Pb,Br; I,0.2; 0.8,1,0.6; 2.4
FAPbBr2I,FA,Pb,Br; I,1,1,2; 1
Cs0.1FA0.9MAPbI3,Cs; FA; MA,Pb,I,0.1; 0.9; 1,1,3
Cs0.1FA0.36MA0.54PbBr0.2I2.8,Cs; FA; MA,Pb,Br; I,0.1; 0.36; 0.54,1,0.2; 2.8
Cs0.2FA0.32MA0.48PbBr0.2I2.8,Cs; FA; MA,Pb,Br; I,0.2; 0.32; 0.48,1,0.2; 2.8
Cs0.05FA0.19MA0.76PbI3,Cs; FA; MA,Pb,I,0.05; 0.19; 0.76,1,3
Cs0.05FA0.38MA0.57PbI3,Cs; FA; MA,Pb,I,0.05; 0.38; 0.57,1,3
Cs0.05FA0.57MA0.38PbI3,Cs; FA; MA,Pb,I,0.05; 0.57; 0.38,1,3
Cs0.05FA0.76MA0.19PbI3,Cs; FA; MA,Pb,I,0.05; 0.76; 0.19,1,3
FA0.4MA0.6PbBr0.3I2.7,FA; MA,Pb,Br; I,0.4; 0.6,1,0.3; 2.7
FA0.4MA0.6PbBr0.6I2.4,FA; MA,Pb,Br; I,0.4; 0.6,1,0.6; 2.4
(3AMPY)MA3Pb4I13,(3AMPY); MA,Pb,I,1; 3,4,13
(4AMPY)MA3Pb4I13,(4AMPY); MA,Pb,I,1; 3,4,13
(3AMP)MA3Pb4I13,(3AMP); MA,Pb,I,1; 3,4,13
FA0.84MA0.16PbBr0.5I1.5,FA; MA,Pb,Br; I,0.84; 0.16,1,0.5; 1.5
Cs0.02FA0.95MA0.03PbBr0.09I2.91,Cs; FA; MA,Pb,Br; I,0.02; 0.95; 0.03,1,0.09; 2.91
Cs0.04FA0.81MA0.14PbBr0.43I2.57,Cs; FA; MA,Pb,Br; I,0.04; 0.81; 0.14,1,0.43; 2.57
Cs0.05FA0.79MA0.16PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,0.05; 0.79; 0.16,1,0.45; 2.55
MASnCl3,MA,Sn,Cl,1,1,3
FA0.79MA0.21PbI3,FA; MA,Pb,I,0.79; 0.21,1,3
FA0.59MA0.41PbI3,FA; MA,Pb,I,0.59; 0.41,1,3
FA0.37MA0.63PbI3,FA; MA,Pb,I,0.37; 0.63,1,3
FA0.26MA0.74PbI3,FA; MA,Pb,I,0.26; 0.74,1,3
