material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom,volume,density,band_gap
mp-998745,TlZnF3,5,Cubic,-2.328041165,69.88057355,7.765297258,3.9179
mp-574239,Tm3AlC,5,Cubic,1.332148068,149.0099333,6.08223681,0
mp-1018641,Tm3AlN,5,Cubic,-1.124935118,101.0220081,9.004257142,0
mp-10351,Tm3GaC,5,Cubic,1.044850078,142.6836896,6.849329248,0
mp-21292,Tm3InC,5,Cubic,1.465148988,166.9763974,6.301307212,0
mp-19847,Tm3InN,5,Cubic,-1.224040254,103.9107742,10.15759936,0
mp-22542,Tm3PbC,5,Cubic,-0.558029175,110.9270479,10.86816534,0
mp-21888,Tm3SnC,5,Cubic,1.511119864,168.5580322,6.280521796,0
mp-22556,Tm3TlC,5,Cubic,1.484870648,169.3312777,7.091993122,0
mp-1101265,TmAlO3,10,Hexagonal,-3.718722775,116.8332203,6.93344991,3.5534
mp-756281,TmAlO3,20,Orthorhombic,-3.775944359,197.8539217,8.188437955,6.0789
mp-17620,TmBO3,30,Hexagonal,-3.200776611,324.0872159,7.001389952,2.3645
mp-760484,TmBO3,10,Orthorhombic,-3.488919677,116.3556124,6.500362494,4.5062
mp-10134,TmBPd3,5,Cubic,-0.67316622,79.34907065,10.44268873,0
mp-5438,TmBRh3,5,Cubic,-0.8222947,71.52499706,11.34022769,0
mp-972395,TmBeO3,5,Cubic,-2.884760724,44.23705371,8.481347432,0
mp-754323,TmBiO3,10,Trigonal,-2.835879719,155.4224688,9.100934574,3.1128
mp-755216,TmBiO3,10,Trigonal,-2.81205329,154.1832663,9.174080653,2.4418
mp-1216578,TmBiTe3,5,Trigonal,-0.930650828,177.7071013,7.108305292,1.1145
mp-561954,TmCoO3,20,Orthorhombic,-2.637331035,215.8265325,8.489885076,1.1886
mp-1187577,TmCrO3,5,Cubic,-2.848458345,56.34323776,7.925818869,1.9289
mp-777295,TmCrO3,20,Orthorhombic,-3.247408514,213.0146064,8.385646497,2.6809
mp-20651,TmFeO3,20,Orthorhombic,-2.874276493,227.0219556,7.980858848,1.6368
mp-558400,TmFeO3,30,Hexagonal,-2.888833372,363.3509232,7.479670758,0
mp-1207932,TmGa3Os,15,Cubic,-0.557037808,254.9263043,11.10602729,0
mp-17424,TmGa3Ru,15,Cubic,-0.578806804,254.0837493,9.394766534,0
mp-1101269,TmGaO3,10,Hexagonal,-3.181510883,123.773036,7.691538031,2.4668
mp-754578,TmGaO3,20,Orthorhombic,-3.158924132,221.8765888,8.581392196,3.9298
mp-768469,TmGaO3,30,Hexagonal,-3.203388263,356.1908917,8.018214694,2.9311
mp-1187655,TmGeO3,5,Cubic,-2.306310488,58.73100333,8.187265195,0
mp-1101263,TmInO3,20,Orthorhombic,-2.955722868,261.9823759,8.411016416,2.5259
mp-1232191,TmMgS3,20,Monoclinic,-1.548220859,508.5283681,3.780452325,0.2669
mp-1232251,TmMgS3,30,Trigonal,-1.638149116,679.5347605,4.24363998,0
mp-1238772,TmMgS3,10,Monoclinic,-1.512525842,250.6458692,3.835026801,0
mp-1232151,TmMgSe3,10,Monoclinic,-1.381498284,284.9846076,5.01240932,0
mp-1232198,TmMgSe3,30,Trigonal,-1.50039854,781.9479858,5.480388193,0
mp-554211,TmMnO3,30,Hexagonal,-3.098161969,360.1896989,7.52022914,0
mp-554270,TmMnO3,20,Orthorhombic,-3.05708312,228.3572196,7.90781237,2.0076
mp-1079044,TmNiGe3,10,Orthorhombic,-0.537241431,174.42398,8.483342856,0
mp-1106304,TmNiO3,20,Monoclinic,-2.527218608,211.5268716,8.654927327,0
mp-19002,TmNiO3,20,Orthorhombic,-2.526711635,203.7758718,8.984133817,0
mp-10714,TmRh3C,5,Cubic,-0.538234423,70.24211553,11.57570347,0
mp-1207705,TmRhO3,20,Orthorhombic,-2.60793388,221.6222056,9.585742424,0.9565
mp-1206773,TmRu3C,5,Cubic,-0.259312061,69.64222759,11.54411871,0
mp-1187557,TmScO3,5,Cubic,-3.40074774,64.08062583,6.786384872,2.5716
mp-1207696,TmScO3,20,Orthorhombic,-3.980072896,245.3343639,7.090336352,4.4168
mp-768396,TmSeO3,40,Monoclinic,-2.542680966,616.7971596,6.372803748,1.819
mp-755525,TmTiO3,20,Orthorhombic,-3.652124087,229.4619594,7.665057271,0
mp-1101279,TmTlO3,20,Orthorhombic,-2.506763663,284.7034235,9.829333097,0.736
mp-755258,TmVO3,20,Orthorhombic,-3.320021488,218.7038156,8.135479326,0
mp-972367,UAlO3,5,Cubic,-3.236607311,53.43791981,9.726484321,0
mp-1187784,UBO3,5,Cubic,-2.221621749,46.18361721,10.67285994,0
mp-1069774,UBRh3,5,Cubic,-0.585564657,75.89935726,12.19831411,0
mp-1187752,UBeO3,5,Cubic,-3.05238272,45.87033247,10.68063483,0
mp-1105902,UCoS3,20,Orthorhombic,-1.200924626,339.5989873,7.689689976,0
mp-1188226,UCoSe3,20,Orthorhombic,-0.965533884,398.2120879,8.904457677,0
mp-22063,UCrS3,20,Orthorhombic,-1.381440419,394.151361,6.508498798,0
mp-1106185,UCrSe3,20,Orthorhombic,-1.144346538,454.9528346,7.692633495,0
mp-22667,UFeS3,10,Orthorhombic,-1.241572883,167.0102662,7.756704764,0
